age,sex,pb_surface,pb_elev,pb100k_time,pb100k_dec,avg_km,teique_sf,steu_b,stem_b
49.00,2.00,1,2018.00,14:00:00,14.00,70.00,,15.00,
36.00,2.00,3,631.00,07:36:12,7.60,110.00,5.73,14.00,13.50
29.00,2.00,1,1524.00,14:12:00,14.20,80.00,5.33,15.00,10.75
26.00,2.00,1,3657.00,14:20:00,14.33,110.00,5.33,14.00,10.58
40.00,1.00,1,4420.00,17:00:00,17.00,70.00,5.33,13.00,13.58
27.00,2.00,1,1372.00,12:00:00,12.00,105.00,5.23,15.00,12.33
29.00,1.00,3,2286.00,16:00:00,16.00,125.00,5.97,15.00,13.08
36.00,2.00,1,2717.00,16:10:04,16.16,55.00,5.37,13.00,11.58
36.00,1.00,3,0.00,09:57:00,9.95,50.00,5.20,14.00,11.17
37.00,2.00,1,1524.00,17:33:32,17.55,30.00,5.67,13.00,12.33
42.00,2.00,4,,12:30:00,12.50,80.00,5.00,14.00,9.17
37.00,2.00,1,5500.00,23:00:00,23.00,50.00,5.80,14.00,10.25
40.00,1.00,1,3657.00,18:51:14,18.85,80.00,4.03,15.00,6.67
31.00,2.00,1,3000.00,08:30:00,8.50,65.00,,14.00,11.25
47.00,1.00,1,3700.00,19:20:00,19.33,90.00,4.80,15.00,10.42
31.00,2.00,1,2000.00,16:00:00,16.00,65.00,5.00,12.00,
50.00,1.00,1,,18:00:00,18.00,72.00,5.43,14.00,11.33
37.00,1.00,4,0.00,12:00:00,12.00,100.00,5.87,12.00,12.92
43.00,2.00,1,457.00,14:23:00,14.38,74.00,5.87,10.00,10.08
57.00,2.00,3,0.00,15:00:00,15.00,80.00,,16.00,12.33
34.00,2.00,1,2439.00,09:15:00,19.25,100.00,5.60,15.00,10.92
29.00,1.00,1,,14:00:00,14.00,60.00,4.43,13.00,10.92
38.00,1.00,1,2200.00,14:13:00,14.21,70.00,,14.00,
27.00,1.00,1,1828.00,14:55:00,14.91,88.00,5.53,13.00,9.33
32.00,2.00,3,800.00,14:30:00,14.50,63.00,5.87,15.00,14.08
47.00,2.00,1,2134.00,19:00:00,19.00,70.00,6.20,17.00,9.50
43.00,1.00,4,,18:30:00,18.50,50.00,5.77,7.00,9.08
48.00,2.00,1,3000.00,15:00:00,15.00,40.00,4.27,10.00,12.58
45.00,2.00,1,3658.00,20:00:00,20.00,48.00,5.10,13.00,11.75
28.00,2.00,3,1800.00,12:10:00,12.16,75.00,4.77,15.00,6.75
33.00,2.00,1,7000.00,14:49:34,14.82,55.00,5.63,15.00,10.42
53.00,1.00,1,1000.00,12:59:00,12.99,90.00,,14.00,13.08
56.00,2.00,4,,13:30:00,13.50,50.00,3.87,11.00,
36.00,2.00,1,5000.00,12:58:00,12.98,65.00,4.33,7.00,13.83
49.00,2.00,3,400.00,09:13:00,9.20,60.00,6.07,13.00,8.75
43.00,1.00,3,50.00,10:00:00,10.00,75.00,4.17,9.00,5.83
45.00,1.00,3,0.00,13:33:00,13.55,60.00,5.50,11.00,8.25
25.00,2.00,1,3800.00,14:00:00,14.00,80.00,5.70,11.00,13.00
28.00,2.00,1,1524.00,15:00:00,15.00,45.00,4.90,,
33.00,2.00,1,4400.00,14:00:00,14.00,80.00,4.50,13.00,
40.00,2.00,1,8000.00,22:00:00,22.00,90.00,,18.00,
39.00,2.00,1,3048.00,15:20:00,15.33,70.00,,,
50.00,2.00,1,5000.00,15:32:00,15.53,50.00,5.47,10.00,
43.00,2.00,1,0.00,12:16:00,12.26,96.00,,13.00,12.25
29.00,2.00,3,304.00,12:00:00,12.00,70.00,,,
45.00,2.00,1,3657.00,13:00:00,13.00,60.00,4.47,,
31.00,2.00,4,762.00,10:46:00,10.77,100.00,5.07,10.00,
18.00,2.00,1,768.00,13:58:57,13.98,107.00,,,
39.00,2.00,1,3000.00,14:00:00,14.00,70.00,2.97,17.00,
31.00,2.00,1,1676.00,16:00:00,16.00,60.00,3.87,,
28.00,2.00,1,213.00,12:03:00,12.05,80.00,4.67,11.00,
31.00,2.00,3,609.00,20:50:00,20.83,80.00,7.00,,
39.00,1.00,1,61.00,14:00:00,14.00,110.00,3.40,,
